quote,author
"Dearest <NAME>, <NAME> was knowingly punishing herself. <NAME> was the only reasonable explanation. <NAME> was no use in acting naive. What happened earlier in the day was proof that she was going to give in to his flirtation. It appeared she'd thrown caution to the wind and opened her arms to embrace everything that could go wrong in her life. What's one more problem to add to the pile?","Emem Uko,"
"My Love, <NAME>, <NAME> love is meatloaf flavored. I just wish my meatloaf was also meatloaf flavored.","Dora J. Arod,"
"To the One I Cherish, <NAME>, I love you,"" he murmured into my hair. ""<NAME> are my night and stars, the fate I would fix myself to in any life.","Roshani Chokshi,"
"My Love, <NAME>, I am a wild woman.",Nikki Rowe
"My Beloved <NAME>, <NAME> truth is I do love you. <NAME> that means opening myself up to all that pain when you leave. After you realize this wasn’t love, but gratitude.","Kelly Moran,"
"Dearest <NAME>, I wanted a love thick with time, as inscrutable as if a lathe had carved it from night and as familiar as the marrow in my bones. I wanted the impossible, which made it that much easier to push out of my mind.","Roshani Chokshi,"
"My Beloved <NAME>, sometimes i don't know, which moment","Sanober Khan,"
"Dearest <NAME>, <NAME> want to be free. <NAME> also want to be mine. <NAME> can't be both.","Nenia Campbell,"
"Dearest <NAME>, <NAME> love ought to be more like a tree and less like a flower. <NAME> the kind of love my parents had. <NAME> so consuming and more everlasting. <NAME> you see that tree over there? <NAME> it's only showing green leaves, but during the spring it's covered in flowers. <NAME> as reliable as trees are, they can also speak of beauty and passion.","Mya Robarts,"
"To the One I Cherish, <NAME>, funny how our hearts",Sanober Khan
"Dearest <NAME>, When it comes",Sanober Khan
"Dearest <NAME>, she was completely whole","Maquita Donyel Irvin,"
"My Beloved <NAME>, It’s times like this…. when it’s over a year later and I’m still crying over you that I want to turn to you and say: <NAME> <NAME> is why I asked you never to kiss me.",Ranata Suzuki
"Dearest <NAME>, <NAME> any / unloved thing, I don’t know if I’m real /","Natalie Wee,"
"My Beloved <NAME>, <NAME> I fear that my place gets taken by some other one, very lucky and not too shy, who flirts with your eyes while I’m the one who’s crazy about them.",Nizar Qabbani
"My Beloved <NAME>, <NAME> a child who saves their favourite food on the plate for last, I try to save all thoughts of you for the end of the day so I can dream with the taste of you on my tongue.",Kamand Kojouri
"Dearest <NAME>, those broken girls have the deepest love.",R.H. Sin
"My Dearest <NAME>, Speak to me: I will spend my lifetime trying to understand you.",Kamand Kojouri
"My Beloved <NAME>, <NAME> way our fingers intertwine feels so natural and right; as if our hands hold memories of meeting in a thousand other lifetimes.",John Mark Green
"My Love, <NAME>, <NAME> doesn’t die with death. <NAME> is like liquid; when it pours out, it seeps into others’ lives. <NAME> changes form and shape. <NAME> gets into everything. <NAME> doesn’t conquer all; love does. <NAME> wins every single time. <NAME> wins by lasting through death. <NAME> wins by loving more, loving again, loving without fear.",Kate   O'Neill
"Dearest <NAME>, I spend most nights at home falling in love with the idea of you.",Michael Faudet
"My Beloved <NAME>, I always have many roads to travel, but I take the one which leads to you.","Amit Kalantri,"
"My Beloved <NAME>, <NAME> not turn me",Sanober Khan
"Dearest <NAME>, <NAME> should have waited for nightfall,","Nina Mouawad,"
"To the One I Cherish, <NAME>, It hurts to let go, to say goodbye for the final time and remain distant in your closure, it may even tear your heart out to the point of insanity; but somehow in it all you find the pieces of your worth and you start creating yourself again, and in that journey of transformation you find the essence of what truly matters, inner happiness. It's life, we all fall at some stage but it's up to you, to decide how long you want to stay there.",Nikki Rowe
"My Beloved <NAME>, He looked at me like I was the stars when all I’d ever felt like was the dark nothingness between them.",Ranata Suzuki
"My Dearest <NAME>, <NAME> will be hatred. <NAME> will be war. <NAME> country will fight itself to pieces. It will starve its people, ravage its land, poison its breath. <NAME> will fall and break and cry. But alongside everything, there has to be love - eternal, undying, enduring. Burn through vengeance and terror and warfare. Burn through everything that fuels the human heart and <NAME> it red, burn through everything that covers the outside with hard muscle and tough sinew. Cut down deep and grab what beats beneath, and it is love that will survive after everything else has perished.","Chloe Gong,"
"My Dearest <NAME>, It was easy to be good and kind in times of plenty. <NAME> trying times were the moments that defined a man.","Renee Ahdieh,"
"My Dearest <NAME>, I think of you only twice a day - when I am alone and when I am with someone else.","Amit Kalantri,"
"My Dearest <NAME>, <NAME> was chaos and beauty intertwined. A tornado of roses from divine.",Shakieb Orgunwall
"Dearest <NAME>, I will look for you in every lifetime and love you there.",Kamand Kojouri
"Dearest <NAME>, <NAME> will blaze through you like a gypsy wildfire. Igniting you soul and dancing in its flames. <NAME> when she is gone, the smell of her smoke will be the only thing left to soothe you.",Nicole  Lyons
"My Beloved <NAME>, <NAME> think everyone you like is special, she said. I'm just a normal person. When you get to like someone, you make them feel like they're different from everyone else. <NAME> doing it with <NAME> you did it with me once.","Sally Rooney,"
"My Beloved <NAME>, When did you first fall in love?""","Saiber,"
"Dearest <NAME>, When the darkest part of you meets the darkest part of me, it creates light.","Coco Mellors,"
"My Love, <NAME>, When you start giving, instead of getting, you make a difference. <NAME> can always give a warm smile, a sincere hello, a positive vibe… your attention, your time, your love, and kindness to those around you.",Roy T. Bennett
"Dearest <NAME>, I am looking for the one I can’t fool.",Kamand Kojouri
"My Beloved <NAME>, I enjoy the wild things,",Nikki rowe
"To the One I Cherish, <NAME>, <NAME> make me thank god for every mistake I ever made, <NAME> each one led me down the path that brought me to you.","Pablo Neruda,"
"To the One I Cherish, <NAME>, <NAME> callused hands","Sanober Khan,"
"To the One I Cherish, <NAME>, I try to do something positive – I socialise more…",Ranata Suzuki
"My Beloved <NAME>, I can't explain why your name seems so familiar to me, or why it feels like I've heard your voice a thousand times before, but I can explain this ~ your the type of chaos Id bleed for.",Nikki Rowe
"My Beloved <NAME>, I hope that someday when I am gone, someone, somewhere, picks my soul up off of these pages and thinks, ""I would have loved her.",Nicole  Lyons
"My Love, <NAME>, I will speak of love",Kamand Kojouri
"My Beloved <NAME>, I am not a day dreamer, I am a believer, that after every painful love I have gone through, it is just an experience to crack open the deepest parts of my core and allow to me to delve into a passion so rare, that I will find a love that was almost, never meant to be.",Nikki Rowe
"My Beloved <NAME>, <NAME> me like <NAME> night, like three glasses of champagne, like the room is spinning, like you're drunk on my love.",C.J. Carlyon
"My Beloved <NAME>, I remembered you with my soul clenched","Pablo Neruda,"
"Dearest <NAME>, If you don't love yourself, you won't be happy with yourself. If you can't love yourself, you can't love anyone else. <NAME> can't give the love you do not have. <NAME> can't make anyone love you without loving yourself first.",Kemi Sogunle
"My Dearest <NAME>, be the kiss in my hair",Sanober Khan
"My Dearest <NAME>, <NAME> can't buy the love you want, you can't sell your love. <NAME> is given by those who deserves it.",Jayson Engay
"To the One I Cherish, <NAME>, I love to walk. <NAME> is a spiritual journey and a reflection of living. <NAME> of us must determine which path to take and how far to walk; we must find our own way, what is right for one may not be for another. <NAME> is no single right way to deal with late stage cancer, to live life or approach death, or to walk an old mission trail.","Edie Littlefield Sundby,"
"To the One I Cherish, <NAME>, For you",Sanober Khan
"My Love, <NAME>, <NAME> worth the pain of trying. <NAME> the risk of failing","Sarah Hogle,"
"My Dearest <NAME>, <NAME> when it seems that there is no one else, always remember there's one person who never ceased to love you - yourself.",Sanhita Baruah
"My Beloved <NAME>, <NAME> at its best, is independence and intimacy in balance.","Donna Goddard,"
"Dearest <NAME>, If you can forget the person you love, you have not loved enough.","Anmol Rawat,"
"My Love, <NAME>, He kisses--how do I explain it? <NAME> someone in love. <NAME> he has nothing to lose. <NAME> someone who has just learned a foreign language and can use only the present tense and only the second person. Only now, only you.","Andrew Sean Greer,"
"To the One I Cherish, <NAME>, <NAME> the quietest love is the loudest.","Liz Tomforde,"
"My Dearest <NAME>, It wasn't exactly love at first sight, but it was deeper than that. A sense of belonging to a place I never knew I wanted but somehow always needed. It was a home that carried a heartbeat.",Nikki Rowe
"To the One I Cherish, <NAME>, the intensity","Sanober Khan,"
"My Love, <NAME>, A girl who travels will need someone that questions her, not too little, and not too much. <NAME> need someone to read her, but also really listen to her. <NAME> she’ll want to do the same. <NAME> want a person that shares an interest but at the same time stays genuine to who they are. <NAME> drown in a puddle of narcissism. <NAME> not drown in a lake of fascination.",lauren klarfeld
"Dearest <NAME>, <NAME> the smallest changes in our daily routine can create incredible ripple effects that expand our vision of what is possible.","Charles F. Glassman,"
"My Dearest <NAME>, <NAME> is nothing right or wrong in love. Where there is love, then there is nothing but only love.","Sara Naveed,"
"My Beloved <NAME>, <NAME> relationships have ups and downs. <NAME> fantasy often nurtures the belief that difficulties and down times are an indication of a lack of love rather than part of the process. <NAME> actuality, true love thrives of the difficulties. <NAME> foundation of such love is the assumption that we want to grow and expand, to become more fully ourselves. <NAME> is no change that does not bring with it a feeling of challenge and loss. When we experience true love it may feel as though our lives are in danger; we may feel threatened.","bell hooks,"
"My Beloved <NAME>, When he looks at me, the way he looks at me... He does not know, what I lack... <NAME> - how - I am incomplete. He sees me, for what I - am, as I am. He's happy - to see me. <NAME> time. <NAME> day.","Guillermo del Toro,"
"To the One I Cherish, <NAME>, <NAME> I can become an expert on anything, I must first become an expert on me.","Charles F. Glassman,"
"My Love, <NAME>, <NAME> the one I like. <NAME> love.","Jenna Evans Welch,"
"Dearest <NAME>, <NAME> hands crept around his neck, tangling in his hair to keep him closer, even though she knew that beautiful boys with expiration dates couldn't be held, only borrowed for a time.",Martina Boone
"My Beloved <NAME>, <NAME> night, I laid awake with your memories flooding through my eyes with the hope to be with you when sleep arrived.","Anmol Rawat,"
"To the One I Cherish, <NAME>, <NAME> love is built on free will and free choice, not control and manipulation.",Ken Poirot
"Dearest <NAME>, One does not seek love,' she told him, 'it should find you all on it's own","Barbara Lieberman,"
"Dearest <NAME>, <NAME> love, treat your relationship as if you are growing the most beautiful flower. <NAME> watering it, tend to its roots, give it lots of sunlight, and always make sure the petals are full of color and are never curling. Once you neglect your plant, it will die, as will your relationship.","Suzy Kassem,"
"Dearest <NAME>, <NAME> for me is not where I am. <NAME> for me is a physical structure where the girl whom I love is sheltered and protected from the incoming storms of life. <NAME> for me is not where I am safe, but where she is safe. <NAME> for me is not where she exists, but where she lives. <NAME> is my home.","Juansen Dizon,"
"My Beloved <NAME>, If your absence doesn't bother them then your presence never mattered to them in the first place",Dido Stargaze
"Dearest <NAME>, I believe in <NAME> and I know love conquers all.","Ahmad Ardalan,"
"To the One I Cherish, <NAME>, <NAME> to me everything you find ugly about yourself, so I can reveal to you everything I find beautiful about you.","Juansen Dizon,"
"Dearest <NAME>, <NAME> it’s reasons to burn may vary... you are always the fuel of my fire.",Ranata Suzuki
"My Dearest <NAME>, <NAME> what seems so right turns out wrong and what seems so wrong turns out right. What do I call this phenomenon? <NAME>.","Charles F. Glassman,"
"To the One I Cherish, <NAME>, I know love is real because her love is visible.",Delano Johnson poet
"My Love, <NAME>, I ain't a lover, but I want to love all your crazy imperfections,","Hareem Ch,"
"Dearest <NAME>, I understand we all have our differences. But while learning about history I've read about white people coming together, <NAME> coming together, Spanish coming together, different cultures and religions understanding and coming together despite their differences. Slavery was never something that shocked me. What shocks me is how black people have not yet overcome the odds and we're such strong smart people. Why we can't just stand together?",Jonathan Anthony Burkett
"My Dearest <NAME>, He looks like a poem. One of those mournfully beautiful ones with short, unfamiliar words that sound ethereal when spoken and completely nonsensical when thought.","Velvetoscar,"
"Dearest <NAME>, <NAME> way to my heart shattered when you left me, but I was glad because your memories were invulnerable, locked inside my heart.","Anmol Rawat,"
"My Beloved <NAME>, <NAME> on its worst day conquers hate on its best day.",Matshona Dhliwayo
"Dearest <NAME>, <NAME> when we told each other no distractions?","Victoria Aveyard,"
"My Love, <NAME>, <NAME> waste time thinking about them. If they walked away from your love, they don't deserve your pain.",C.L.  Brown
"My Beloved <NAME>, I tried to keep him at a safe distance where he could only see the decent parts of me and it made us both miserable. I inadvertently let him in to see the ugly parts but instead of running away like I’d counted on him to do, he wrapped his arms around all of that ugliness and didn’t let go.","Sarah Hogle,"
"My Beloved <NAME>, I would have followed you to hell and back... if only you'd lead me back.",Ranata Suzuki
"My Love, <NAME>, <NAME> hair is winter fire,","Stephen King,"
"My Love, <NAME>, <NAME> can run from the truth. <NAME> can run and hide from the truth.","Delano Johnson,"
"My Love, <NAME>, <NAME> people come in your life and make you believe that your life is incomplete without them. <NAME> they leave, creating a void in your heart that may fill back with time but will never be complete.","Anmol Rawat,"
"My Love, <NAME>, <NAME> existed in his eyes, his energy as he lived his daily life. I could fall into his soul and lay my worries to rest, but if by chance this happened; it wouldn't last the test.",Nikki Rowe
"To the One I Cherish, <NAME>, I have a question for you. ""If your shadow is the second most beautiful thing in the world, which is the first?"".","Amit Kalantri,"
"My Beloved <NAME>, <NAME> can only trust your emotions as you can lie to yourself with your brain but not your heart.",Carl White
"Dearest <NAME>, But some relationships aren't meant to last.",Sanhita Baruah
"My Dearest <NAME>, I miss your voice because it is a symphony; your scent because it is a treasure; your smile because it is a jewel; your hug because it is a masterpiece; and your kiss because it is a miracle.",Matshona Dhliwayo
"My Beloved <NAME>, I lay there in the bath not thinking, not doing anything. After a few seconds, I heard her open the front door, and then her voice saying: she's had a really rough day, so just be nice to her. <NAME> <NAME> said: I know, I will. I loved them both so much in this moment that I wanted to appear in front of them like a benevolent ghost and sprinkle blessings into their lives. <NAME> you, I wanted to say. <NAME> you both. <NAME> are my family now.","Sally Rooney,"
"To the One I Cherish, <NAME>, Forgiveness is a personal process that doesn’t depend on us having direct contact with the people who have hurt us.","Sharon Salzberg,"
"My Beloved <NAME>, When you fall in love with someone you treasure their quirks as much as anything else. Flaws become unique marks of character, things you'd miss if they weren't there.","Tommy Cotton,"
"Dearest <NAME>, <NAME> meeting you, I didn't know what it was like to feel lonely. I never even considered myself to be alone. <NAME> because when you feel lonely, it means that there is someone for you to miss.",Yuuki Obata
"To the One I Cherish, <NAME>, He looked up in despair at the starry sky, he struck his burning chest with his fist; he loved and he was not loved!","Gaston Leroux,"
"To the One I Cherish, <NAME>, I was well aware of her ghosts. I'd met them, once or twice, during her darkness nights. ""I knew you were my one when you wouldn't run,"" she said. <NAME> could I? Of course I stayed, when her ghosts scared my own away. What others were too afraid to see, meant everything to me.",J. Raymond
"Dearest <NAME>, <NAME> key in letting go is practice. <NAME> time we let go, we disentangle ourselves from our expectations and begin to experience things as they are.","Sharon Salzberg,"
"My Love, <NAME>, To love is not to look at one another, it is to look, together, in the same direction.","Antoine de Saint-Exupéry,"
"My Dearest <NAME>, When two souls are one, they hear each other, even in silence.",Matshona Dhliwayo
"Dearest <NAME>, <NAME> second i live in a hope to meet you one day.....",Shantanand Sharma
"Dearest <NAME>, After 49 years of marriage, isn’t it amazing when you can look at your partner sound asleep next to you and still believe they have potential.",Kaylin McFarren
"My Love, <NAME>, <NAME> I will be brave enough to say these things to you in person. For now, I remain in happy, quiet contemplation over you and can say tonight that I just might love you. <NAME> could someday.","Erin McCahan,"
"Dearest <NAME>, I learned that love can transcend race and time, and that it can be beautiful and perfect and worth fighting for but also fragile and heartbreaking, and sometimes sacrifice is necessary. <NAME> sometimes it’s you against the world, and there are no easy answers. <NAME> you have to know when to hold on…and when to let go.","Julie Kagawa,"
"My Dearest <NAME>, <NAME> is worth everything. EVERYTHING","Antoine de Saint-Exupéry,"
"To the One I Cherish, <NAME>, I put my fingers under <NAME> chin, tilting her head up. ""I love you.""","Katie McGarry,"
"Dearest <NAME>, If <NAME> a <NAME> <NAME> <NAME> <NAME> <NAME> Proud, <NAME> <NAME> <NAME> Repair <NAME> Except <NAME> Own <NAME>""!!!",Dr. A.P.J. Abdul Kalam
"My Dearest <NAME>, <NAME> collarbones like wings that spread from the base of her throat to the ends of her shoulders. A bird held down by skin.","Arundhati Roy,"
"To the One I Cherish, <NAME>, <NAME> said you didn’t care what I thought. <NAME> what I did. <NAME> if I died, if I’m not mistaken.""","Sarah J. Maas,"
"Dearest <NAME>, <NAME> before we met and long after we're both gone, my heart lives inside of yours. I'm forever and ever in love with you.","Crystal Woods,"
"My Dearest <NAME>, <NAME> wherever your heart is, that is where you´ll find your treasure","Paulo Coelho,"
"To the One I Cherish, <NAME>, <NAME> are that one breath. that puts all the remaining breaths. back into my body.",Sanober Khan
"My Beloved <NAME>, We thought everything would be","Zaeema J. Hussain,"
"To the One I Cherish, <NAME>, I seem to be torn between 'I wish we'd met earlier' and 'I wish we'd never met'.",Ahmed Mostafa
"My Love, <NAME>, I’m only going say this—love is a wild creature that cannot","Candace Knoebel,"
"My Love, <NAME>, I think it's important as a women to know who you are and what you deserve. We, ourselves set the boundaries of what we choose to accept.",Nikki Rowe
"My Dearest <NAME>, I feel your words on my lips",Maquita Donyel Irvin
"Dearest <NAME>, <NAME> is how it is in life and love. <NAME> life and love we are with people for a while, and then we join other people, people we have not met, and we walk with them, and we leave behind all the things we used to be. <NAME> we leave people behind too... <NAME> happens everyday. <NAME> this happens and scarcely anybody cares.","Daniel Handler,"
"To the One I Cherish, <NAME>, A relationship that is truly genuine does not keep changing its colors. <NAME> gold never rusts. If a relationship is really solid and golden, it will be unbreakable. <NAME> even <NAME> can destroy its shine.","Suzy Kassem,"
"My Dearest <NAME>, I almost forget that she still hates me, despite how hard I’ve fallen for her.","Tahereh Mafi,"
"My Dearest <NAME>, when the words not enough to describe how much you love....","Bob Marley,"
"My Beloved <NAME>, It's loud inside my head, with those words I want to say to you.",Jayson Engay
"My Beloved <NAME>, It’s beyond your consciousness that your soul lingers with the person you love and hence your mood will affect the one you love. <NAME> is the reason why you sometimes sense your mood changing mysteriously with no reason.",Udai Yadla
"My Beloved <NAME>, <NAME> is not a competition. <NAME> one has to lose for someone else to win. A true blessing blesses everyone.","Donna Goddard,"
"My Dearest <NAME>, I have learned, that in this life, you must always be your own advocate. We yearn for someone to always be on our side, to always trust us, to always believe us and believe in us, regardless of the world and everything in it! But the reality of life proves that the majority of people are only capable of a shallow love. <NAME> will only advocate you as much as you advocate yourself. <NAME> are admirers who have fallen into adoration of your own publication of yourself and once that image begins to shake and quiver? <NAME> ""love"" shakes and quivers, too. Very seldom will you find someone who will love the way that you tremble. <NAME> yet, this is the only type of love that is ever even true! If you are not loved for the way that you tremble and the way that you come unhinged, then you are not even loved at all.",C. JoyBell C.
"My Love, <NAME>, <NAME> waited for a man who would marvel her with his intellect, wit and physique, all at the same time. <NAME> who would beguile her, unnerve her, possess her, and claim her and then make her jealous with deceit and accusations. <NAME> who wouldn’t bore her after a few hours of company. <NAME> who wouldn’t be distracted by someone younger than her - even at that age, she had her insecurities........ <NAME> waited for a man who would be worth a chase and a challenge, who would beguile her and ravage her, and be true to her. <NAME> was no fool. <NAME> knew the limitations of affectation and ceremonial overtures between husband and wife. <NAME> knew the limits of compatibility, being put off by a few of her suitors instantly. <NAME> knew that love was not a guarantee to lifetime of happiness. <NAME> knew the importance of money and it’s effect on men. <NAME> knew the value of having the best in jewelry, clothes and company, for a person was judged accordingly, and if one wished to be a success, one had to look the part. <NAME> that required continuity of resources, not affection. But still she waited. <NAME> waited for a man who would surprise her beyond her expectations. <NAME> waited for a man who would be magical. <NAME> waited for a man who would never come.","Noorilhuda,"
"My Dearest <NAME>, I love when you do that, he whispered.","Kandi Steiner,"
"Dearest <NAME>, I think true love transcends tiem. <NAME> thunderbolt does not. <NAME> if it strkes men the way you described.""",Mya Robarts
"My Beloved <NAME>, love is infinite and will only remain in the end","Mahiraj Jadeja,"
"My Dearest <NAME>, He was changed, burned, branded, destroyed and rebuilt. <NAME> he loved it.","Jess Michaels,"
"To the One I Cherish, <NAME>, Often I lose myself in the constellation of my own ideas, forever searching for point of illumination. But no matter where I look, I find you, shinning and bright, offering me what ever it is I seek, you are my one single star. <NAME> sun, my moon, my guide and direction, I know as long as I have you, I'll never lose my way. <NAME> if I can not touch you, I know I will see you, feel you, from anywhere. If I need you I know where to find you","Vaddey Ratner,"
"My Beloved <NAME>, <NAME> yourself disappear in the darkness; if you are loved, people will come and find you with torches in their hands! <NAME> is a great searcher; it always searches the loved one! To see who really love you, just disappear!",Mehmet Murat ildan
"To the One I Cherish, <NAME>, <NAME> after people forget what you said or did, they’ll remember how you made them feel.","T. Rafael Cimino,"
"To the One I Cherish, <NAME>, Obviously, the kind that belongs to him.","墨香铜臭, Mò Xiāng Tóng Xiù,"
"Dearest <NAME>, I could make love with you until the moon decides to never glow again.","Melody  Lee,"
"To the One I Cherish, <NAME>, <NAME> if my heart was a canvas, every square inch of it would be painted over with you.","Cassandra Clare,"
"My Love, <NAME>, <NAME> started as nothing.",Auliq Ice
"Dearest <NAME>, I have always wanted to give you the world, so I started giving you pieces of the oceans that kept us apart.","Karen Quan,"
"My Beloved <NAME>, I do not write about love",Kamand Kojouri
"Dearest <NAME>, <NAME> real love and real happiness. It’s when you go to sleep every night hoping that you are less happy than your lover; it’s hoping that you’ve given everything you could to them so that their day could be just a tiny bit better.","Lexie Syrah,"
"My Beloved <NAME>, Far from a normal-functioning relationship, but normal has never been our thing.","Anna Todd,"
"My Love, <NAME>, <NAME> is no cosmetic to gain a beauty like yours.","Amit Kalantri,"
"To the One I Cherish, <NAME>, <NAME> is about the good moments, but it's about holding on to each other during the difficult ones, too. Coming out on the other side, weathered but still holding hands, isn't easy. It's the most difficult thing there can possibly be, but I know now it's the truest test of love there is.","Aisha Saeed,"
"My Love, <NAME>, But that’s the thing about narcissists. <NAME> can try to fool you, with all their heart, but in the end, they’re just fooling themselves.","Ellie Fox,"
"My Beloved <NAME>, I'm in love with you. It doesn't matter what has happened in my life. I love you till my last breath and it's amazing that i see you everywhere.","Indra Kumar Jangid,"
"My Love, <NAME>, Exposure to erotically inclined stimuli immediately activates parts of a male brain that are associated with sexual desire. <NAME> attracted to other women, however, doesn’t mean men would betray the trust they are given and harm the partnership with the women they love.",Tatjana Ostojic
