quote,author
"“a flower knows, when its butterfly will return,",Sanober Khan
“I love my parents' murderer; I suppose I could love anyone.”,"Holly Black,"
“i want to be,Sanober Khan
"“If you cannot hold me in your arms, then hold my memory in high regard.",Ranata Suzuki
“If you’re searching for a quote that puts your feelings into words – you won’t find it.,Ranata Suzuki
"“When you experience loss, people say you’ll move through the 5 stages of grief….",Ranata Suzuki
“I think perhaps I will always hold a candle for you – even until it burns my hand.,Ranata Suzuki
“Nothing is more tragic than loving someone to the depths of your soul and knowing they cannot and will not ever love you back.”,"Rick Riordan,"
"“To fall in love with someone's thoughts - the most intimate, splendid romance.”",Sanober Khan
"“It’s painful, loving someone from afar.",Ranata Suzuki
“I had someone once who made every day mean something.,Ranata Suzuki
"“She's an old soul with young eyes, a vintage heart, and a beautiful mind.”",Nicole  Lyons
“Not only did,Christopher Poindexter
“I miss that feeling of connection.,Ranata Suzuki
"“Tell me every terrible thing you ever did, and let me love you anyway.”","Sade Andria Zabala,"
“In this story,Arzum Uzun
"“For some people, “the point of no return” begins at the very moment their souls become aware of each others’ existence.”",C. JoyBell C.
“He was both everything I could ever want…,Ranata Suzuki
"“Though these words will never find you, I hope that you knew I was thinking of you today….. and that I was wishing you every happiness.",Ranata Suzuki
“I raised you so high that every other man on earth is now doomed to live in your shadow.”,Ranata Suzuki
“The last time I felt alive – I was looking into your eyes.,Ranata Suzuki
“It’s difficult for me to imagine the rest of my life without you. But I suppose I don’t have to imagine it... I just have to live it”,Ranata Suzuki
"“Who am I to deny gravity, Aurora? When you shine brighter than any constellation in the sky?”","Jay Kristoff,"
"“I would court you, with all the grace and courtesy that you deserve,”","C.S. Pacat,"
“If you walked away from a,Lalah Delia
“He touched my soul long before I knew what his hands felt like.”,Nikki Rowe
"“Why wouldn’t you tell someone you loved them? Once you loved someone, you repeated it until they were tired of hearing it. You said it until it ceased to have meaning. Why not? Of course, you goddamn did.”","Gabrielle Zevin,"
"“I long for you; I who usually longs without longing, as though I am unconscious and absorbed in neutrality and apathy, really, utterly long for every bit of you.”","Franz Kafka,"
"“I'm done. I don't need anything more out of life. I have you, and that's enough.”",Alessandra Torre
"“Those freckles make you seem like a galaxy of stars, just waiting to be explored and loved.”",Nikita Gill
“I didn’t love you to seek revenge.,Ranata Suzuki
“Not words.,Sanober Khan
“I had embraced you...,"Sanober Khan,"
"“You're every street I've ever walked. You're the tree outside my window, you're a sparrow as he flies. You're the book that I am reading. You're every poem I've ever loved.”","Benjamin Alire Sáenz,"
“Your smile and your laughter lit my whole world.”,Ranata Suzuki
“تقولين لي أنك تخافين الحب,"جبران خليل جبران,"
“...so i will greet you,"Sanober Khan,"
“The absence of a message sometimes is a presence of one.”,Hasse Jerner
“Love is the most beautiful of dreams and the worst of nightmares.”,"Aman Jassal,"
“how is it that,"Sanober Khan,"
"“I think it's hard for you to fall in love because you like control, and you can't control what another person does or feels, so you keep all your cards.”","Tarryn Fisher,"
“She was knowingly punishing herself. That was the only reasonable explanation. There was no use in acting naive. What happened earlier in the day was proof that she was going to give in to his flirtation. It appeared she'd thrown caution to the wind and opened her arms to embrace everything that could go wrong in her life. What's one more problem to add to the pile?”,"Emem Uko,"
“My love is meatloaf flavored. I just wish my meatloaf was also meatloaf flavored.”,"Dora J. Arod,"
"“I love you,"" he murmured into my hair. ""You are my night and stars, the fate I would fix myself to in any life.”","Roshani Chokshi,"
“I am a wild woman.,Nikki Rowe
"“The truth is I do love you. Admitting that means opening myself up to all that pain when you leave. After you realize this wasn’t love, but gratitude.”","Kelly Moran,"
"“I wanted a love thick with time, as inscrutable as if a lathe had carved it from night and as familiar as the marrow in my bones. I wanted the impossible, which made it that much easier to push out of my mind.”","Roshani Chokshi,"
"“sometimes i don't know, which moment","Sanober Khan,"
“You want to be free. You also want to be mine. You can't be both.”,"Nenia Campbell,"
"“Real love ought to be more like a tree and less like a flower. That's the kind of love my parents had. Not so consuming and more everlasting. And you see that tree over there? Now it's only showing green leaves, but during the spring it's covered in flowers. Because as reliable as trees are, they can also speak of beauty and passion.”","Mya Robarts,"
“funny how our hearts,Sanober Khan
“When it comes,Sanober Khan
“she was completely whole,"Maquita Donyel Irvin,"
“It’s times like this…. when it’s over a year later and I’m still crying over you that I want to turn to you and say: See…. This is why I asked you never to kiss me.”,Ranata Suzuki
"“Like any / unloved thing, I don’t know if I’m real /","Natalie Wee,"
"“And I fear that my place gets taken by some other one, very lucky and not too shy, who flirts with your eyes while I’m the one who’s crazy about them.”",Nizar Qabbani
“i write,Sanober Khan
“i'm glad to be alive,"Sanober Khan,"
“Farsi Couplet:,"Amir Khusrau,"
"“Like a child who saves their favourite food on the plate for last, I try to save all thoughts of you for the end of the day so I can dream with the taste of you on my tongue.”",Kamand Kojouri
“those broken girls have the deepest love.”,R.H. Sin
“Speak to me: I will spend my lifetime trying to understand you.”,Kamand Kojouri
“The way our fingers intertwine feels so natural and right; as if our hands hold memories of meeting in a thousand other lifetimes.”,John Mark Green
"“Love doesn’t die with death. Love is like liquid; when it pours out, it seeps into others’ lives. Love changes form and shape. Love gets into everything. Death doesn’t conquer all; love does. Love wins every single time. Love wins by lasting through death. Love wins by loving more, loving again, loving without fear.”",Kate   O'Neill
“I spend most nights at home falling in love with the idea of you.”,Michael Faudet
"“I always have many roads to travel, but I take the one which leads to you.”","Amit Kalantri,"
“my love,"Sanober Khan,"
“Do not turn me,Sanober Khan
"“Icarus should have waited for nightfall,","Nina Mouawad,"
"“It hurts to let go, to say goodbye for the final time and remain distant in your closure, it may even tear your heart out to the point of insanity; but somehow in it all you find the pieces of your worth and you start creating yourself again, and in that journey of transformation you find the essence of what truly matters, inner happiness. It's life, we all fall at some stage but it's up to you, to decide how long you want to stay there.”",Nikki Rowe
“He looked at me like I was the stars when all I’d ever felt like was the dark nothingness between them.”,Ranata Suzuki
"“There will be hatred. There will be war. The country will fight itself to pieces. It will starve its people, ravage its land, poison its breath. Shanghai will fall and break and cry. But alongside everything, there has to be love - eternal, undying, enduring. Burn through vengeance and terror and warfare. Burn through everything that fuels the human heart and Sears it red, burn through everything that covers the outside with hard muscle and tough sinew. Cut down deep and grab what beats beneath, and it is love that will survive after everything else has perished.”","Chloe Gong,"
“It was easy to be good and kind in times of plenty. The trying times were the moments that defined a man.,"Renee Ahdieh,"
“I think of you only twice a day - when I am alone and when I am with someone else.”,"Amit Kalantri,"
“She was chaos and beauty intertwined. A tornado of roses from divine.”,Shakieb Orgunwall
“I will look for you in every lifetime and love you there.”,Kamand Kojouri
"“She will blaze through you like a gypsy wildfire. Igniting you soul and dancing in its flames. And when she is gone, the smell of her smoke will be the only thing left to soothe you.”",Nicole  Lyons
"“You think everyone you like is special, she said. I'm just a normal person. When you get to like someone, you make them feel like they're different from everyone else. You're doing it with Nick, you did it with me once.”","Sally Rooney,"
"“When did you first fall in love?""","Saiber,"
"“When the darkest part of you meets the darkest part of me, it creates light.”","Coco Mellors,"
"“When you start giving, instead of getting, you make a difference. You can always give a warm smile, a sincere hello, a positive vibe… your attention, your time, your love, and kindness to those around you.”",Roy T. Bennett
“I am looking for the one I can’t fool.”,Kamand Kojouri
"“I enjoy the wild things,",Nikki rowe
"“You make me thank god for every mistake I ever made, Because each one led me down the path that brought me to you.”","Pablo Neruda,"
“With callused hands,"Sanober Khan,"
“I try to do something positive – I socialise more…,Ranata Suzuki
"“I can't explain why your name seems so familiar to me, or why it feels like I've heard your voice a thousand times before, but I can explain this ~ your the type of chaos Id bleed for.”",Nikki Rowe
"“I hope that someday when I am gone, someone, somewhere, picks my soul up off of these pages and thinks, ""I would have loved her.”",Nicole  Lyons
“I will speak of love,Kamand Kojouri
"“I am not a day dreamer, I am a believer, that after every painful love I have gone through, it is just an experience to crack open the deepest parts of my core and allow to me to delve into a passion so rare, that I will find a love that was almost, never meant to be.”",Nikki Rowe
"“Love me like Saturday night, like three glasses of champagne, like the room is spinning, like you're drunk on my love.”",C.J. Carlyon
“I remembered you with my soul clenched”,"Pablo Neruda,"
"“If you don't love yourself, you won't be happy with yourself. If you can't love yourself, you can't love anyone else. You can't give the love you do not have. You can't make anyone love you without loving yourself first.”",Kemi Sogunle
“be the kiss in my hair,Sanober Khan
"“You can't buy the love you want, you can't sell your love. Love is given by those who deserves it.”",Jayson Engay
"“I love to walk. Walking is a spiritual journey and a reflection of living. Each of us must determine which path to take and how far to walk; we must find our own way, what is right for one may not be for another. There is no single right way to deal with late stage cancer, to live life or approach death, or to walk an old mission trail.”","Edie Littlefield Sundby,"
“For you,Sanober Khan
“She's worth the pain of trying. Worth the risk of failing”,"Sarah Hogle,"
"“Even when it seems that there is no one else, always remember there's one person who never ceased to love you - yourself.”",Sanhita Baruah
"“Dancing, at its best, is independence and intimacy in balance.”","Donna Goddard,"
"“If you can forget the person you love, you have not loved enough.”","Anmol Rawat,"
"“He kisses--how do I explain it? Like someone in love. Like he has nothing to lose. Like someone who has just learned a foreign language and can use only the present tense and only the second person. Only now, only you.”","Andrew Sean Greer,"
“Sometimes the quietest love is the loudest.”,"Liz Tomforde,"
"“It wasn't exactly love at first sight, but it was deeper than that. A sense of belonging to a place I never knew I wanted but somehow always needed. It was a home that carried a heartbeat.”",Nikki Rowe
“the intensity,"Sanober Khan,"
"“A girl who travels will need someone that questions her, not too little, and not too much. She’ll need someone to read her, but also really listen to her. Because she’ll want to do the same. She’ll want a person that shares an interest but at the same time stays genuine to who they are. Not drown in a puddle of narcissism. And not drown in a lake of fascination.”",lauren klarfeld
“When we understand people;,Ernest Agyemang Yeboah
“Even the smallest changes in our daily routine can create incredible ripple effects that expand our vision of what is possible.”,"Charles F. Glassman,"
"“There is nothing right or wrong in love. Where there is love, then there is nothing but only love.”","Sara Naveed,"
"“All relationships have ups and downs. Romantic fantasy often nurtures the belief that difficulties and down times are an indication of a lack of love rather than part of the process. In actuality, true love thrives of the difficulties. The foundation of such love is the assumption that we want to grow and expand, to become more fully ourselves. There is no change that does not bring with it a feeling of challenge and loss. When we experience true love it may feel as though our lives are in danger; we may feel threatened.”","bell hooks,"
"“When he looks at me, the way he looks at me... He does not know, what I lack... Or - how - I am incomplete. He sees me, for what I - am, as I am. He's happy - to see me. Every time. Every day.”","Guillermo del Toro,"
"“Before I can become an expert on anything, I must first become an expert on me.”","Charles F. Glassman,"
“You're the one I like. Maybe love.”,"Jenna Evans Welch,"
"“Her hands crept around his neck, tangling in his hair to keep him closer, even though she knew that beautiful boys with expiration dates couldn't be held, only borrowed for a time.”",Martina Boone
"“Every night, I laid awake with your memories flooding through my eyes with the hope to be with you when sleep arrived.”","Anmol Rawat,"
"“True love is built on free will and free choice, not control and manipulation.”",Ken Poirot
"“One does not seek love,' she told him, 'it should find you all on it's own”","Barbara Lieberman,"
"“In love, treat your relationship as if you are growing the most beautiful flower. Keep watering it, tend to its roots, give it lots of sunlight, and always make sure the petals are full of color and are never curling. Once you neglect your plant, it will die, as will your relationship.”","Suzy Kassem,"
"“Home for me is not where I am. Home for me is a physical structure where the girl whom I love is sheltered and protected from the incoming storms of life. Home for me is not where I am safe, but where she is safe. Home for me is not where she exists, but where she lives. She is my home.”","Juansen Dizon,"
“If your absence doesn't bother them then your presence never mattered to them in the first place”,Dido Stargaze
"“I believe in Love, and I know love conquers all.”","Ahmad Ardalan,"
"“Reveal to me everything you find ugly about yourself, so I can reveal to you everything I find beautiful about you.”","Juansen Dizon,"
“Though it’s reasons to burn may vary... you are always the fuel of my fire.”,Ranata Suzuki
“Sometimes what seems so right turns out wrong and what seems so wrong turns out right. What do I call this phenomenon? Life.”,"Charles F. Glassman,"
“I know love is real because her love is visible.”,Delano Johnson poet
"“I ain't a lover, but I want to love all your crazy imperfections,","Hareem Ch,"
"“I understand we all have our differences. But while learning about history I've read about white people coming together, Jews coming together, Spanish coming together, different cultures and religions understanding and coming together despite their differences. Slavery was never something that shocked me. What shocks me is how black people have not yet overcome the odds and we're such strong smart people. Why we can't just stand together?”",Jonathan Anthony Burkett
"“He looks like a poem. One of those mournfully beautiful ones with short, unfamiliar words that sound ethereal when spoken and completely nonsensical when thought.”","Velvetoscar,"
"“The way to my heart shattered when you left me, but I was glad because your memories were invulnerable, locked inside my heart.”","Anmol Rawat,"
“Love on its worst day conquers hate on its best day.”,Matshona Dhliwayo
“Remember when we told each other no distractions?,"Victoria Aveyard,"
"“Don't waste time thinking about them. If they walked away from your love, they don't deserve your pain.”",C.L.  Brown
"“I tried to keep him at a safe distance where he could only see the decent parts of me and it made us both miserable. I inadvertently let him in to see the ugly parts but instead of running away like I’d counted on him to do, he wrapped his arms around all of that ugliness and didn’t let go.”","Sarah Hogle,"
“I would have followed you to hell and back... if only you'd lead me back.”,Ranata Suzuki
"“Your hair is winter fire,","Stephen King,"
“You can run from the truth. You can run and hide from the truth.,"Delano Johnson,"
"“Some people come in your life and make you believe that your life is incomplete without them. Then they leave, creating a void in your heart that may fill back with time but will never be complete.”","Anmol Rawat,"
"“Magic existed in his eyes, his energy as he lived his daily life. I could fall into his soul and lay my worries to rest, but if by chance this happened; it wouldn't last the test.",Nikki Rowe
"“I have a question for you. ""If your shadow is the second most beautiful thing in the world, which is the first?"".”","Amit Kalantri,"
“You can only trust your emotions as you can lie to yourself with your brain but not your heart.”,Carl White
“I think i should get love inked on my skin.,Anjum Choudhary
"“Her love was like lavender,","Laura Chouette,"
“But some relationships aren't meant to last.,Sanhita Baruah
“I miss your voice because it is a symphony; your scent because it is a treasure; your smile because it is a jewel; your hug because it is a masterpiece; and your kiss because it is a miracle.”,Matshona Dhliwayo
"“I lay there in the bath not thinking, not doing anything. After a few seconds, I heard her open the front door, and then her voice saying: she's had a really rough day, so just be nice to her. And Nick said: I know, I will. I loved them both so much in this moment that I wanted to appear in front of them like a benevolent ghost and sprinkle blessings into their lives. Thank you, I wanted to say. Thank you both. You are my family now.”","Sally Rooney,"
“Forgiveness is a personal process that doesn’t depend on us having direct contact with the people who have hurt us.”,"Sharon Salzberg,"
"“When you fall in love with someone you treasure their quirks as much as anything else. Flaws become unique marks of character, things you'd miss if they weren't there.”","Tommy Cotton,"
"“Before meeting you, I didn't know what it was like to feel lonely. I never even considered myself to be alone. That's because when you feel lonely, it means that there is someone for you to miss.”",Yuuki Obata
"“He looked up in despair at the starry sky, he struck his burning chest with his fist; he loved and he was not loved!”","Gaston Leroux,"
"“I was well aware of her ghosts. I'd met them, once or twice, during her darkness nights. ""I knew you were my one when you wouldn't run,"" she said. How could I? Of course I stayed, when her ghosts scared my own away. What others were too afraid to see, meant everything to me.”",J. Raymond
"“The key in letting go is practice. Each time we let go, we disentangle ourselves from our expectations and begin to experience things as they are.”","Sharon Salzberg,"
"“To love is not to look at one another, it is to look, together, in the same direction.”","Antoine de Saint-Exupéry,"
"“When two souls are one, they hear each other, even in silence.”",Matshona Dhliwayo
“Every second i live in a hope to meet you one day.....,Shantanand Sharma
"“After 49 years of marriage, isn’t it amazing when you can look at your partner sound asleep next to you and still believe they have potential.”",Kaylin McFarren
"“Someday, I will be brave enough to say these things to you in person. For now, I remain in happy, quiet contemplation over you and can say tonight that I just might love you. Or could someday.”","Erin McCahan,"
"“I learned that love can transcend race and time, and that it can be beautiful and perfect and worth fighting for but also fragile and heartbreaking, and sometimes sacrifice is necessary. That sometimes it’s you against the world, and there are no easy answers. That you have to know when to hold on…and when to let go.”","Julie Kagawa,"
“A proposito: vi amo.”,"Christelle Dabos,"
“Love is worth everything. EVERYTHING”,"Antoine de Saint-Exupéry,"
"“Può darsi che in futuro stando con me conoscerai dolori, guai, problemi ma, se vuoi, costruiamo insieme una vita complicata, ma più felice di qualsiasi vita solitaria”",Banana Yoshimoto
"“I put my fingers under Emily's chin, tilting her head up. ""I love you.""","Katie McGarry,"
"“If You'r a Mechanical Engineer Don't Feel So Proud, Because You Can Repair Everything Except Your Own Heart""!!!”",Dr. A.P.J. Abdul Kalam
“Her collarbones like wings that spread from the base of her throat to the ends of her shoulders. A bird held down by skin.”,"Arundhati Roy,"
"“You said you didn’t care what I thought. Or what I did. Or if I died, if I’m not mistaken.""","Sarah J. Maas,"
"“Even before we met and long after we're both gone, my heart lives inside of yours. I'm forever and ever in love with you.”","Crystal Woods,"
"“Because, wherever your heart is, that is where you´ll find your treasure”","Paulo Coelho,"
“You are that one breath. that puts all the remaining breaths. back into my body.”,Sanober Khan
“We thought everything would be,"Zaeema J. Hussain,"
“I seem to be torn between 'I wish we'd met earlier' and 'I wish we'd never met'.”,Ahmed Mostafa
“I’m only going say this—love is a wild creature that cannot,"Candace Knoebel,"
"“ليس الحـب فقط هـو مايجعلنا سعداء , فالذكريات مع أحد الآصدقاء ترسم بسمه من نـوع خاص”","فارس أحمد طه,"
"“I think it's important as a women to know who you are and what you deserve. We, ourselves set the boundaries of what we choose to accept.",Nikki Rowe
“I feel your words on my lips,Maquita Donyel Irvin
"“This is how it is in life and love. In life and love we are with people for a while, and then we join other people, people we have not met, and we walk with them, and we leave behind all the things we used to be. Sometimes we leave people behind too... This happens everyday. Everyday this happens and scarcely anybody cares.”","Daniel Handler,"
"“A relationship that is truly genuine does not keep changing its colors. Real gold never rusts. If a relationship is really solid and golden, it will be unbreakable. Not even Time can destroy its shine.”","Suzy Kassem,"
"“I almost forget that she still hates me, despite how hard I’ve fallen for her.","Tahereh Mafi,"
“when the words not enough to describe how much you love....,"Bob Marley,"
"“It's loud inside my head, with those words I want to say to you.”",Jayson Engay
“It’s beyond your consciousness that your soul lingers with the person you love and hence your mood will affect the one you love. This is the reason why you sometimes sense your mood changing mysteriously with no reason.”,Udai Yadla
“love ridden,"K. Y. Robinson,"
“Life is not a competition. No one has to lose for someone else to win. A true blessing blesses everyone.”,"Donna Goddard,"
"“I have learned, that in this life, you must always be your own advocate. We yearn for someone to always be on our side, to always trust us, to always believe us and believe in us, regardless of the world and everything in it! But the reality of life proves that the majority of people are only capable of a shallow love. They will only advocate you as much as you advocate yourself. They are admirers who have fallen into adoration of your own publication of yourself and once that image begins to shake and quiver? Their ""love"" shakes and quivers, too. Very seldom will you find someone who will love the way that you tremble. And yet, this is the only type of love that is ever even true! If you are not loved for the way that you tremble and the way that you come unhinged, then you are not even loved at all.”",C. JoyBell C.
"“She waited for a man who would marvel her with his intellect, wit and physique, all at the same time. Someone who would beguile her, unnerve her, possess her, and claim her and then make her jealous with deceit and accusations. Someone who wouldn’t bore her after a few hours of company. Someone who wouldn’t be distracted by someone younger than her - even at that age, she had her insecurities........ She waited for a man who would be worth a chase and a challenge, who would beguile her and ravage her, and be true to her. She was no fool. She knew the limitations of affectation and ceremonial overtures between husband and wife. She knew the limits of compatibility, being put off by a few of her suitors instantly. She knew that love was not a guarantee to lifetime of happiness. She knew the importance of money and it’s effect on men. She knew the value of having the best in jewelry, clothes and company, for a person was judged accordingly, and if one wished to be a success, one had to look the part. And that required continuity of resources, not affection. But still she waited. She waited for a man who would surprise her beyond her expectations. She waited for a man who would be magical. She waited for a man who would never come.”","Noorilhuda,"
"“I love when you do that,” he whispered.","Kandi Steiner,"
"“I think true love transcends tiem. The thunderbolt does not. Not if it strkes men the way you described.""",Mya Robarts
“Suntem ceea ce iubim.”,Nichita Stănescu
“love is infinite and will only remain in the end”,"Mahiraj Jadeja,"
"“He was changed, burned, branded, destroyed and rebuilt. And he loved it.”","Jess Michaels,"
"“Often I lose myself in the constellation of my own ideas, forever searching for point of illumination. But no matter where I look, I find you, shinning and bright, offering me what ever it is I seek, you are my one single star. My sun, my moon, my guide and direction, I know as long as I have you, I'll never lose my way. Even if I can not touch you, I know I will see you, feel you, from anywhere. If I need you I know where to find you”","Vaddey Ratner,"
"“Let yourself disappear in the darkness; if you are loved, people will come and find you with torches in their hands! Love is a great searcher; it always searches the loved one! To see who really love you, just disappear!”",Mehmet Murat ildan
"“Long after people forget what you said or did, they’ll remember how you made them feel.”","T. Rafael Cimino,"
"“Obviously, the kind that belongs to him.”","墨香铜臭, Mò Xiāng Tóng Xiù,"
“I could make love with you until the moon decides to never glow again.”,"Melody  Lee,"
"“And if my heart was a canvas, every square inch of it would be painted over with you.”","Cassandra Clare,"
“love,"Sanober Khan,"
"“Khusrau darya prem ka, ulti wa ki dhaar,","Amir Khusrau,"
“Everything started as nothing.”,Auliq Ice
"“I have always wanted to give you the world, so I started giving you pieces of the oceans that kept us apart.”","Karen Quan,"
“I do not write about love,Kamand Kojouri
“That’s real love and real happiness. It’s when you go to sleep every night hoping that you are less happy than your lover; it’s hoping that you’ve given everything you could to them so that their day could be just a tiny bit better.”,"Lexie Syrah,"
"“My love,",Kamand Kojouri
"“Far from a normal-functioning relationship, but normal has never been our thing.”","Anna Todd,"
“There is no cosmetic to gain a beauty like yours.”,"Amit Kalantri,"
"“Love is about the good moments, but it's about holding on to each other during the difficult ones, too. Coming out on the other side, weathered but still holding hands, isn't easy. It's the most difficult thing there can possibly be, but I know now it's the truest test of love there is.”","Aisha Saeed,"
"“But that’s the thing about narcissists. They can try to fool you, with all their heart, but in the end, they’re just fooling themselves.”","Ellie Fox,"
“I'm in love with you. It doesn't matter what has happened in my life. I love you till my last breath and it's amazing that i see you everywhere.”,"Indra Kumar Jangid,"
"“Dear Fellow Human Being,",Jasz  Gill
"“Exposure to erotically inclined stimuli immediately activates parts of a male brain that are associated with sexual desire. Being attracted to other women, however, doesn’t mean men would betray the trust they are given and harm the partnership with the women they love.”",Tatjana Ostojic
“Science can’t explain why two specific people are magnetically drawn to each other instead of repelled. Only love can.”,"Colleen Oakley,"
“Love is the opposite of fear and it lights the flames of a million hearts.”,Amy Leigh Mercree
“You wanna love me for the rest of your life?”,"whoknows,"
“Animals are a gift from above for they truly define the words unconditional love.”,"Heather Wolf,"
"“You look all frail and breakable, but you're really a violent little thing, aren't you?”","Rebecca Yarros,"
"“Oh, darling, that’s what love is. It’s some power greater than you and me, that draws us to one special person.”","Jodi Picoult,"
“No. I don't want the love at first sight,Sowmya Thejomoorthy
"“I can't live without the sun shining down on my face, and I can't dream without the stars kissing me goodnight.”","S.L. Jennings,"
“I still have that feeling the first time we met every time I see you.”,Jayson Engay
"“Jealousy says, “Compete with each other.” Envy says, “Destroy each other.” Empathy says, “Help each other.” Love says, “Empower each other.”",Matshona Dhliwayo
"“You believe in love, just as a child believes in Santa Claus or a fairy tale.”","Abhaidev,"
"“I know in that moment, even though it could not be more ridiculous, that if I die in there, I won't die without falling in love.”","Rachael Lippincott,"
“It is impossible to be hurt by someone you love contrary to popular belief. Only something or someone you fear can hurt you.”,"Frederick Dodson,"
"“Nobody will save yeu,",Sandesh Hukpachongbang
“Romance for me is,Sandesh Hukpachongbang
“You have no choice. You must leave your ego on the doorstep before you enter love.”,Kamand Kojouri
"“Love is like dried flowers sometimes. Even though you watch the petals shrink and change colour, you cannot help treasuring them”",Munia Khan
“You and I,"Ayushee Ghoshal ,"
"“Love starts as a feeling,","Justin Wetch,"
"“your voice is a place i want to take shelter in, a place that makes me feel safe and soft.”","Zaeema J. Hussain,"
“Heaven is a place where all the dogs you've ever loved come to greet you.”,"Oliver Gaspirtz,"
“If you do not love me I shall not be loved.,Samuel Beckett
“Do you love me enough that I am allowed to be damaged? Do you love me enough that I am allowed to be weak in some places?”,"Khadija Rupa,"
“YOU are your own guru. YOU are your own soul mate. YOU are powerful. Take the reigns and drive your carriage home to love.”,Amy Leigh Mercree
“I didn't want to be the woman who gave herself over willingly to the first man to notice her. I didn't want to be the stupid girl in every novel who loved without question and entered relationships that didn't make sense.”,"Destinee Hardwick,"
“I’m wrapped in you.,Tatjana Ostojic
“I only wrote prose before I met you.,Kamand Kojouri
"“Love is not a forest fire that burns intensely,","J. Conrad Guest,"
"“I am here, I will always be here. Watching you, loving you.”",Jayson Engay
"“I loved being near you. Even though I felt that bubble you had around you, even though I never quite knew what you were thinking, damn, did I love being near you. Somehow, I knew you would rip me apart and drown me. Somehow, I knew we wouldn’t last. It didn’t matter. You were my sun. I loved feeling you upon me, around me, between me. Even though you could only love me from a distance, I didn’t care. I never felt more warmth inside of me than when you were against me.”",Jacqueline Simon Gunn
“Gifts are temporary and often forgotten; love is forever and always remembered.”,Ken Poirot
“Never fall in love with stargazers – always with accelerated affection. Their love disappears in the blink of an eye like a shooting star.”,RSCruz
“There is nothing more graceful and powerful than the ability to respond to life (in all situations) with love and acceptance.”,debbie lynn - 360 degrees full circle
"“It's so loud inside my head, with those words I want to say to you.”",Jayson Engay
"“Nowhere is it written in stone that you must love in only one way, only one person, only one time. You haven't missed your shot at love, because love isn't just one thing.”","Rosiee Thor,"
“because love doesn't need to last forever in order to make a lasting impression.”,"Heidi Priebe,"
"“Even when we do our very best to treat those close to us with utmost respect and understanding, conflict happens. That’s life. That’s human nature.”","Sharon Salzberg,"
"“Without love, things disperse around; love holds things tightly! It prevents them to move away and disappear on the horizons!”",Mehmet Murat ildan
"“If you spend time judging and criticizing people, you will not have time to heal from your pain or brokenness. You cannot love yourself when you judge or criticize others who are created in God's image and after His Likeness...in which you are also created. Love cannot operate from a space of pain. Love and hurt cannot reside in the same space.”","Kemi Sogunle,"
“Do not ask me,Sandesh Hukpachongbang
"“A hundred pages of me fighting the conformity of love for a boy I simply loved from the start. From the day I met his heart, to the day I had to let it go. I love you more than I planned, Harry.”","Happydays1d,"
"“Love is so supremely important. As our great poet Auden said, 'Love each other or perish”","Mitch Albom,"
“Being present to yourself in love and with kindness is the ultimate gift.”,Amy Leigh Mercree
“Faith is stronger than a stone. Joy is taller than a mountain. Love is wider than an ocean.”,Matshona Dhliwayo
“I will love you tomorrow,Richard L.  Ratliff
“I have poured my heart out ….,Ranata Suzuki
“The only place I ever felt at home was with you. There isn’t a place for me anywhere anymore… I’ve been evicted.”,Ranata Suzuki
